#DUKE weather file,,,,,,
$state_name=North Carolina,,,,,,
$city_name=Charlotte,,,,,,
$lat_deg=35,,,,,,
$lat_min=13,,,,,,
$long_deg=-80,,,,,,
$long_min=56,,,,,,
$timezone_offset=-4,,,,,,
temperature,wind_speed,humidity,solar_dir,solar_diff,solar_global,
#month:day:hour:minute:second,,,,,,
01:01:16:37:00,64.5,14.7,67.25,34.29,4.1,11.19
01:01:16:42:00,64.5,14.8,67.5,31.85,3.9,9.82
01:01:16:47:00,64.4,14.9,67.75,29.4,3.7,8.45
01:01:16:52:00,64.4,15,68,26.96,3.5,7.08
01:01:16:57:00,64.2,14.6,68.33,24.65,3.28,5.74
01:01:17:02:00,64,14.2,68.67,22.54,3.04,4.78
01:01:17:07:00,63.8,13.8,69,20.75,2.77,4.38
01:01:17:12:00,63.6,13.5,69.33,18.94,2.5,3.99
01:01:17:17:00,63.4,13.1,69.67,17.1,2.23,3.59
01:01:17:22:00,63.2,12.7,70,15.25,1.97,3.19
01:01:17:27:00,63.1,12.3,70.33,13.37,1.7,2.78
01:01:17:32:00,62.9,11.9,70.67,11.48,1.44,2.37
01:01:17:37:00,62.7,11.5,71,9.56,1.18,1.96
01:01:17:42:00,62.5,11.2,71.33,7.62,0.92,1.54
01:01:17:47:00,62.3,10.8,71.67,5.66,0.66,1.12
01:01:17:52:00,62.1,10.4,72,3.68,0.41,0.69
01:01:17:57:00,62.1,10.2,72,1.67,0.15,0.26
01:01:18:02:00,62.1,10,72,0.45,0,0
01:01:18:07:00,62.1,9.8,72,0.41,0,0
01:01:18:12:00,62.1,9.6,72,0.37,0,0
01:01:18:17:00,62.1,9.4,72,0.33,0,0
01:01:18:22:00,62.1,9.2,72,0.29,0,0
01:01:18:27:00,62.1,9.1,72,0.25,0,0
01:01:18:32:00,62.1,8.9,72,0.21,0,0
01:01:18:37:00,62.1,8.7,72,0.17,0,0
01:01:18:42:00,62.1,8.5,72,0.13,0,0
01:01:18:47:00,62.1,8.3,72,0.1,0,0
01:01:18:52:00,62.1,8.1,72,0.06,0,0
01:01:18:57:00,62.1,8,71.83,0.02,0,0
01:01:19:02:00,62.1,7.9,71.67,0,0,0
01:01:19:07:00,62.1,7.8,71.5,0,0,0
01:01:19:12:00,62.1,7.7,71.33,0,0,0
01:01:19:17:00,62.1,7.6,71.17,0,0,0
01:01:19:22:00,62.1,7.5,71,0,0,0
01:01:19:27:00,62.1,7.4,70.83,0,0,0
01:01:19:32:00,62.1,7.3,70.67,0,0,0
01:01:19:37:00,62.1,7.2,70.5,0,0,0
01:01:19:42:00,62.1,7.1,70.33,0,0,0
01:01:19:47:00,62.1,7,70.17,0,0,0
01:01:19:52:00,62.1,6.9,70,0,0,0
01:01:19:57:00,61.7,7.1,67.83,0,0,0
01:01:20:02:00,61.2,7.3,65.67,0,0,0
01:01:20:07:00,60.8,7.5,63.5,0,0,0
01:01:20:12:00,60.4,7.7,61.33,0,0,0
01:01:20:17:00,60,7.9,59.17,0,0,0
01:01:20:22:00,59.5,8.1,57,0,0,0
01:01:20:27:00,59.1,8.2,54.83,0,0,0
01:01:20:32:00,58.7,8.4,52.67,0,0,0
01:01:20:37:00,58.3,8.6,50.5,0,0,0
01:01:20:42:00,57.8,8.8,48.33,0,0,0
01:01:20:47:00,57.4,9,46.17,0,0,0
01:01:20:52:00,57,9.2,44,0,0,0
01:01:20:57:00,56.7,9.4,44.25,0,0,0
01:01:21:02:00,56.4,9.6,44.5,0,0,0
01:01:21:07:00,56.1,9.8,44.75,0,0,0
01:01:21:12:00,55.9,10,45,0,0,0
01:01:21:17:00,55.6,10.2,45.25,0,0,0
01:01:21:22:00,55.3,10.4,45.5,0,0,0
01:01:21:27:00,55,10.5,45.75,0,0,0
01:01:21:32:00,54.7,10.7,46,0,0,0
01:01:21:37:00,54.4,10.9,46.25,0,0,0
01:01:21:42:00,54.2,11.1,46.5,0,0,0
01:01:21:47:00,53.9,11.3,46.75,0,0,0
01:01:21:52:00,53.6,11.5,47,0,0,0
01:01:21:57:00,53.4,11.4,46,0,0,0
01:01:22:02:00,53.2,11.3,45,0,0,0
01:01:22:07:00,53,11.2,44,0,0,0
01:01:22:12:00,52.8,11.1,43,0,0,0
01:01:22:17:00,52.6,11,42,0,0,0
01:01:22:22:00,52.3,10.9,41,0,0,0
01:01:22:27:00,52.1,10.9,40,0,0,0
01:01:22:32:00,51.9,10.8,39,0,0,0
